Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Apache Usergrid","AbstractReadGraphFilter produces and queues empty queue operations","When read repair is triggered, it is possible that there are now deIndexRequests to be queued.  Currently we're queueing empty operations and need to filter this properly.",Story,Major,Closed,"2015-11-04 21:23:48","2015-11-04 21:23:48",1
"Apache Usergrid","Errors/Failed index events during mgmt app re-index","These errors/failed index events do not seem to cause any operating issues with Usergrid, but cause messages to fall into dead letter queue and increase in ERROR log statements.    2015-10-30 22:31:48,552 [Usergrid-RxIOPool-152] ERROR org.apache.usergrid.corepersistence.asyncevents.AmazonAsyncEventService- Received empty index sequence message:(6c53a75c-6351-4f2b-8e86-e0176c0bebcd), body:({edgeIndexEvent:{creationTime:1446244308487,sourceRegion:us-east-1,applicationScope:{application:{uuid:b6768a08-b5d5-11e3-a495-11ddb1de66c8,type:application}},entityId:{uuid:b6768a08-b5d5-11e3-a495-11ddb1de66c8,type:org_application},edge:{sourceNode:{uuid:b6768a08-b5d5-11e3-a495-11ddb1de66c8,type:application},type:zzzcollzzz|org_applications,targetNode:{uuid:b6768a08-b5d5-11e3-a495-11ddb1de66c8,type:org_application},timestamp:136655371084730107}}}) 2015-10-30 22:31:48,553 [Usergrid-RxIOPool-152] ERROR org.apache.usergrid.corepersistence.asyncevents.AmazonAsyncEventService- Failed to index message: 6c53a75c-6351-4f2b-8e86-e0176c0bebcd java.lang.Exception: Received empty index sequence.         at org.apache.usergrid.corepersistence.asyncevents.AmazonAsyncEventService.lambda$callEventHandlers$21(AmazonAsyncEventService.java:357)         at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193)         at java.util.ArrayList$ArrayListSpliterator.forEachRemaining(ArrayList.java:1374)         at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:481)         at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:471)         at java.util.stream.ReduceOps$ReduceOp.evaluateSequential(ReduceOps.java:708)         at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234)         at java.util.stream.ReferencePipeline.collect(ReferencePipeline.java:499)         at org.apache.usergrid.corepersistence.asyncevents.AmazonAsyncEventService.callEventHandlers(AmazonAsyncEventService.java:372)         at org.apache.usergrid.corepersistence.asyncevents.AmazonAsyncEventService.lambda$null$23(AmazonAsyncEventService.java:695)         at rx.internal.operators.OperatorMap$1.onNext(OperatorMap.java:55)         at rx.internal.util.ScalarSynchronousObservable$1.call(ScalarSynchronousObservable.java:46)         at rx.internal.util.ScalarSynchronousObservable$1.call(ScalarSynchronousObservable.java:35)         at rx.Observable$2.call(Observable.java:162)         at rx.Observable$2.call(Observable.java:154)         at rx.Observable.unsafeSubscribe(Observable.java:7710)         at rx.internal.operators.OperatorSubscribeOn$1$1.call(OperatorSubscribeOn.java:62)         at rx.internal.schedulers.ScheduledAction.run(ScheduledAction.java:55)         at rx.schedulers.ExecutorScheduler$ExecutorSchedulerWorker.run(ExecutorScheduler.java:98)         at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)         at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)         at java.lang.Thread.run(Thread.java:745)",Story,Major,Closed,"2015-11-02 17:04:45","2015-11-02 17:04:45",3
"Apache Usergrid","Create RPM Distributable for Usergrid 2.1",,Story,Critical,Closed,"2015-11-02 16:25:27","2015-11-02 16:25:27",5
"Apache Usergrid","Add 2 endpoints for password hash migration","It is currently possible to migrate from a 1.0 installation to a 2.1 installation via a RESTful client.  However, due to the inability to securely move password hashes, application user's passwords are not retained.   Add the following.  # In the 1.x branch, add the ability to retrieve the password hash.   This should only be allowed by the superuser.  # In 2.1-release, add the ability to write the password hash to an application user.  This should only be allowed by the superuser.   Note that the reason this is only allowed as a superuser is that we want to disable this functionality by default.  Any UG installation that is public facing should not have superuser enable.  This allows us to disable this functionality in environments that are publicly available environments.  ",Story,Major,Closed,"2015-10-28 17:28:33","2015-10-28 17:28:33",5
"Apache Usergrid","Create a repair task in usergrid to handle instances of multiple INDEXES when they are detected","Things that need to be addressed when they are found.  EntityManagerImpl.java line 1135                  if ( properties == null ) {                     logger.error( Error deserializing entity with key {} entity probaby doesn't exist, where did this key come from?, key );                     continue;                 }                  UUID id = uuid( properties.get( PROPERTY_UUID ) );                 String type = string( properties.get( PROPERTY_TYPE ) );                  if ( ( id == null ) || ( type == null ) ) {                     logger.error( Error retrieving entity with key {}, no type or id deseriazable, where did this key come from?, key );                     continue;                 }   Then in EntityManagerImpl getUUIDsForUniqueProperty           //shouldn't happen, but it's an error case         if ( cols.size() > 1 ) {             logger.error( INDEX CORRUPTION: More than 1 unique value exists for entities in ownerId {} of type {} on                      + property {} with value {},                     new Object[] { ownerEntityId, collectionNameInternal, propertyName, propertyValue } );         }  ^ Need to address both issues on read repair path such that we no longer need to worry about users seeing them.   For the second issue we should be able to just call delete UniqueProperty with the entity unique value in question. Just make this happen in the backend. ",Story,Major,Closed,"2015-10-27 23:43:21","2015-10-27 23:43:21",8
"Apache Usergrid","Create a Repair tool that will address null pointer exceptions on entity returns and then properly handle them","500 null pointer exceptions return when data is present in an entity reference but not returned from cassandra while this may be a data consistency issue an investigation needs to be done. That said in the mean time a tool should be created that either can retrieve the data and restore it ( update ) or to delete the left over entity reference. ",Story,Major,Closed,"2015-10-27 23:32:09","2015-10-27 23:32:09",5
"Apache Usergrid","Create Repair Tool to address Service Resource Exceptions from users who cannot be queried for their data","Find a way to resolve the state where a user may still have an entity ref but is not able to be queried or retrieved without uuid.",Story,Major,Closed,"2015-10-27 23:27:45","2015-10-27 23:27:45",5
"Apache Usergrid","[SPIKE] Evaluate read repair of unique values in 1.0",,Story,Major,Closed,"2015-10-27 22:11:02","2015-10-27 22:11:02",1
"Apache Usergrid","Test Windows phone",,Story,Major,Closed,"2015-10-27 21:46:13","2015-10-27 21:46:13",1
"Apache Usergrid","Test Android push notifications",,Story,Major,Closed,"2015-10-27 21:46:04","2015-10-27 21:46:04",1
"Apache Usergrid","Test iOS push notifications",,Story,Major,Closed,"2015-10-27 21:45:55","2015-10-27 21:45:55",1
"Apache Usergrid","implement build metrics in jenkins",,Story,Minor,Closed,"2015-10-27 21:41:33","2015-10-27 21:41:33",1
"Apache Usergrid","Create a per app migration script","Create a python script that will allow users to upgrade from 2.0 to 2.1 per application.  This will ultimately allow an incremental deployment across an existing 2.0 cluster, without user impact.    Template for full system script that already exists: https://github.com/apache/usergrid/blob/2.1-release/stack/scripts/migrate_entity_data.py  It should allow for the following migration process:  tenant 1 1) setup new 2.1 tomcat 2) run migration bootstrap 3) migrate appinfo 4) reindex mgmt app only 5) run de-dup for whatever APP 6) reindex whatever APP 7) add 2.1 tomcats to customer ELB after 1-6 completed for all customer apps 8) run delta re-index/migration for all customer apps   tenant 2 1) reset appinfo version 2) migrate app info 3) reindex mgmt app 4) run de-dup for whatever APP 5) reindex whatever app 7) add 2.1 tomcats to customer ELB after 1-6 completed for all customer apps 8) run delta re-index/migration for all customer apps   after all apps migration 1) migrate entity data  ",Story,Major,Closed,"2015-10-27 21:40:44","2015-10-27 21:40:44",2
"Apache Usergrid","Finish 2.1 release testing","We need to test the following issues to verify they've been fixed.  Multi region writes and index syncing  Multi region mass collection deletes: Delete the entire collection, then ensure that seek times are fast with no query language. ",Story,Major,Closed,"2015-10-27 21:35:38","2015-10-27 21:35:38",3
"Apache Usergrid","Ability to generate a master Jacoco coverage report","In addition to separate Jacoco reports for each module, we should also be able to generate a master Jacoco report.",Story,Major,Closed,"2015-10-22 16:13:54","2015-10-22 15:13:54",3
"Apache Usergrid","[SPIKE] Audit TODOs in the code","We need to audit the TODO statements in the code.  For each we must:  1) Check if there is an existing ticket - If there is no ticket create one 2) Update the TODO statement with the link to the ticket 3) Prioritize based on: - Will this generate a P1 case with a customer? - What is the usability impact of the product?  Once we have audited these we will prioritize and schedule fixes",Story,Critical,Closed,"2015-10-21 17:11:15","2015-10-21 16:11:15",5
"Apache Usergrid","After large deletions, graph seek time becomes slow","After a large number of deletions, 100k +, seek time on graph becomes very slow when searching collections.  Identify the issue, and implement a fix based off of sha  a09485a3a5ac8b4217b294f4754ea8a70a7ec447 ",Bug,Major,Closed,"2015-10-21 16:22:36","2015-10-21 15:22:36",5
"Apache Usergrid","When ElasticSearch rejects a Search request Usergrid should not return 200 OK with an empty array","Currently if the search queue is full a 200 response is returned with an empty entity array.",Story,Major,Closed,"2015-10-21 01:16:25","2015-10-21 00:16:25",1
"Apache Usergrid","When reading messages from SQS an elevated consistency may be needed with latent replication","Occasionally Cassandra multi-region replication lags during high load.  During this high load, messages fail to process because it cannot read the entity from Cassandra.  Rather than fail, we should retry with a high consistency level of quorum in all regions to ensure we replicate the data correctly. ",Story,Blocker,Resolved,"2015-10-13 19:18:37","2015-10-13 18:18:37",3
"Apache Usergrid","remove index and deindex requests that do not go through sqs e.g. CandidateIdFilter","move all these requests to sqs.  any piece of code that calls indexproducer.put() has to be changed to call the index service and call to ES asynchronously through sqs ",Story,Major,Open,"2015-10-07 00:32:13","2015-10-06 23:32:13",3
"Apache Usergrid","2.1-release: fix index batching from SQS reader",,Story,Major,Closed,"2015-09-28 17:10:08","2015-09-28 16:10:08",3
"Apache Usergrid","Refactor asset aws sdk class","Refactor the class so that it doesn't need to retrieve the s3 client everytime. also we need to use the usergrid credentials class so that we can match how we connect to sqs. That way the code is more consistent. ",Bug,Minor,Open,"2015-09-25 23:27:56","2015-09-25 22:27:56",2
"Apache Usergrid","Fix NoAwsCreds rule to work outside of core. ","The no aws creds rule call doesn't work outside of core. It fails in service and rest when using the one based in core. ",Story,Minor,Closed,"2015-09-24 23:16:06","2015-09-24 22:16:06",2
"Apache Usergrid","Test and confirm Usergrid 2.0 works with Cassandra 2.1",,Story,Major,Closed,"2015-09-22 22:07:03","2015-09-22 21:07:03",1
"Apache Usergrid","Test and confirm Usergrid 2.1 works with Cassandra 2.1",,Story,Critical,Closed,"2015-09-22 22:06:51","2015-09-22 21:06:51",2
"Apache Usergrid","Test and confirm Usergrid 1.0 works with Cassandra 2.1","1) Test locally 2) Confirm in e2e ",Story,Major,Closed,"2015-09-22 22:06:38","2015-09-22 21:06:38",2
"Apache Usergrid","When PUTing by uuid or name, add the entry into entity_id_sets column family","When a PUT occurs in 1.0, then entry to Entity_Id_Sets is not re-inserted.  We need to ensure it is re-written. ",Bug,Major,Closed,"2015-09-21 18:26:54","2015-09-21 17:26:54",3
"Apache Usergrid","Occational MIsses on Indexing into Elasticsearch","Occasionally applications still aren't being indexed into elasticsearch. Need to investigate why these might be occuring. ",Bug,Major,Closed,"2015-09-18 22:51:30","2015-09-18 21:51:30",8
"Apache Usergrid","Logic to detect (N+1)-d arrays catches a case where there is no 2-d array","This entity is not fully indexed with the error message below.  It does not have a (direct) 2-d array.  It does have nested arrays, however.  2015-09-18 03:20:28,190 [Usergrid-RxIOPool-151] WARN  org.apache.usergrid.persistence.index.impl.EntityMappingParser- Encountered 2 collections consecutively.  N+1 dimensional arrays are unsupported, only arrays of depth 1 are supported {    type : example,    name : 8980031,    created : 1442527975706,    modified : 1442547269098,    FacilityName : ALICES RESTAURANT,    LastUpdateOn : 9/17/2015,    Locations : [ {      Addresses : [ {        Zip : 94062,        AddressLine1 : 17288 Skyline Blvd,        LatNbr : 37.386916,        LongNbr : -122.265383,        State : CA,        AddrUseCd : PH,        City : WOODSIDE      } ],      Phones : [ {        PhnUseCd : PH,        PhoneNbr : 123-456-3534      } ],      LocSeq : 1,      PracLocStrtDt : 1/1/9999,      PracLocEndDt : 3/31/9999,      Accepting : false,      PracLocSpecialties : [ {        SpcltyPrimInd : Y,        SpcltyDsc : PANCAKES,        SpcltyCd : BRKF      } ]    } ],    TheId : 8980031,    ProviderType : FAC,    PvdrEndDt : 3/31/2008,    PvdrSpecialties : [ {      SpcltyPrimInd : Y,      SpcltyDsc : PANCAKES,      SpcltyCd : BRKF    } ]  }",Story,Blocker,Closed,"2015-09-18 17:02:33","2015-09-18 16:02:33",1
"Apache Usergrid","Fix EntityMapSerialization in EntityToMapConverter to remove type serialization","EntityToMapConverter line 143 injects binary objects into our serialized maps.  Probably a good idea to change this to just map structures instead.  we want to remove the type info. see attached",Story,Minor,Open,"2015-09-16 20:42:30","2015-09-16 19:42:30",3
"Apache Usergrid","Delete from collection does not use SQS or the event service",,Story,Major,Closed,"2015-09-16 19:18:31","2015-09-16 18:18:31",3
"Apache Usergrid","remove batching in index processing",,Story,Major,Closed,"2015-09-15 20:09:43","2015-09-15 19:09:43",1
"Apache Usergrid","Create a job to remove duplicate connections and fix connection write logic","A bug in 2.0 has led to multiple edges on a connection.  We need a job that scans all connections, and keeps the lowest timestamp on the connection.  Other edges should be deleted. ",Story,Major,Closed,"2015-09-12 00:29:20","2015-09-11 23:29:20",3
"Apache Usergrid","Create a job to clean unused edges","We need a system job that audits edges and ensures they point to an entity.  If not, the edge should be removed.",Story,Major,Closed,"2015-09-12 00:28:11","2015-09-11 23:28:11",3
"Apache Usergrid","Remove UUID field encoding in our ES fields","We shouldn't encode a UUID as a specific UUID field type, since we're encoding it as a string.  To keep our index tuples simple, and support both queries, we should store it as a string type.  We should support the following formats.    As well as     Notice the addition of single quotes in the first query, vs the parsing as a UUID type in the second query.  This will enable users to use both versions, but does not affect performance. ",Story,Major,Closed,"2015-09-11 23:58:00","2015-09-11 22:58:00",3
"Apache Usergrid","Test Notification Migration ",,Story,Major,Closed,"2015-09-11 17:47:49","2015-09-11 16:47:49",3
"Apache Usergrid","Automate upload of api baas 2.1 build to s3",,Story,Major,Closed,"2015-09-10 21:48:44","2015-09-10 20:48:44",3
"Apache Usergrid","Implement a cache for Shiro & permissions","How will a cache help improve performance? * Reduce load on Tomcat, ES and C* caused by permissons calculation.            Do we need a distributed cache? * YES: Todd says we tried non-distributed cache (w/EhCache) and the caching was not effective (bad hit/mss ratio).  Implementation ideas: * Use Cassandra column family implementation  * Use Hazelcast cache * Use EhCache configured for distributed operation  How much should we expect performance to improve? How can we test this? * JUnit + metrics collection in our cache implementation  Simplest approach seems to be Cassandra. Here's a design:  h1. Add new Core Persistence Cache module  This is a new module that depends only on the Core Persistence Common module (and maybe Model?) and provides a generic cache interface that is segmented by a cache scope. When you put or get things you specify the cache scope, and it is possible to invalidate all things within a cache scope with one call.    Caches are stored in Cassandra *Usergrid_Cache* column family: * Row-key is applicationId * Column key is toString() of K key * Value is serialized V value object  h1. Plugin our Cache into Shiro at the REST module level  To plugin to Shiro, we provide implementations of the Shiro *CacheManager* and *Cache* interfaces that are backed by the Cache module.   When permissions are updated, we need need to ensure that the old cached permissions are invalidated. So we will modify the *EntityManager* revoke and grant methods to call invalidate for the application's cache scope.  ",Story,Major,Closed,"2015-09-09 22:02:52","2015-09-09 21:02:52",5
"Apache Usergrid","Add Background processing for delete application",,Story,Major,Closed,"2015-09-08 18:08:07","2015-09-08 17:08:07",2
